Position,Velocity,Smoothing_Length,Internal_Energy,Pressure,Density,Acceleration
0.5900000000000002,-0.01837885906777962,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.6000000000000002,-0.020161034153631862,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881976
0.6100000000000002,-0.021863642848380094,0.012,0.0,117860.81661522626,1.001800411522633,3196.911465588193
0.6200000000000002,-0.023479965733354057,0.012,0.0,117860.81661522684,1.001800411522638,3196.9114659141396
0.6300000000000001,-0.025003623920554434,0.012,0.0,117860.81661522684,1.001800411522638,3196.9114659141396
0.6400000000000001,-0.02642860422720958,0.012,0.0,117860.81661522626,1.001800411522633,3196.9114655881926
0.6500000000000001,-0.027749282907060715,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588197
0.6600000000000001,-0.028960447844719128,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.6700000000000002,-0.03005731912550454,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.6800000000000002,-0.031035567899584483,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.6900000000000002,-0.031891333465967044,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7000000000000002,-0.032621238508923775,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7100000000000002,-0.03322240242671206,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7200000000000002,-0.03369245269999403,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7300000000000002,-0.0340295342550866,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7400000000000002,-0.03423231678508972,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.7500000000000002,-0.034300000000000004,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881976
0.7600000000000002,-0.034232316785089714,0.012,0.0,117860.81661522626,1.001800411522633,3196.911465588193
0.7700000000000002,-0.03402953425508659,0.012,0.0,117860.81661522684,1.001800411522638,3196.9114659141396
0.7800000000000001,-0.033692452699994026,0.012,0.0,117860.81661522684,1.001800411522638,3196.9114659141396
0.7900000000000001,-0.03322240242671204,0.012,0.0,117860.81661522626,1.001800411522633,3196.9114655881926
0.8000000000000002,-0.03262123850892376,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588197
0.8100000000000002,-0.03189133346596701,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8200000000000002,-0.03103556789958446,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8300000000000002,-0.030057319125504516,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8400000000000002,-0.0289604478447191,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8500000000000002,-0.027749282907060687,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8600000000000002,-0.026428604227209548,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8700000000000002,-0.025003623920554396,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.8800000000000002,-0.023479965733353987,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588199
0.8900000000000002,-0.021863642848380035,0.012,0.0,117860.81661522615,1.0018004115226322,3196.911465588203
0.9000000000000002,-0.02016103415363179,0.012,0.0,117860.81661522559,1.0018004115226273,3196.9114655882104
0.9100000000000003,-0.018378859067779554,0.012,0.0,117860.81661522559,1.0018004115226273,3196.9114655882104
0.9200000000000003,-0.016524151021688784,0.012,0.0,117860.81661522615,1.0018004115226322,3196.9114655882026
0.9300000000000003,-0.014604229700681952,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588199
0.9400000000000003,-0.012626672157084394,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.9500000000000003,-0.010599282907060647,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.9600000000000003,-0.008530063129754451,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.9700000000000003,-0.006427179090290298,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588197
0.9800000000000003,-0.00429892991125559,0.012,0.0,117860.81661522631,1.0018004115226335,3196.9114655881885
0.9900000000000003,-0.0021537148198553843,0.012,0.0,117860.81661522744,1.001800411522643,3196.911465914131
1.0000000000000002,2.9908472370424022e-18,0.012,0.0,117860.81661522687,1.0018004115226382,3196.9114658489434
1.0100000000000002,0.002153714819855451,0.012,0.0,117860.81661522645,1.0018004115226347,3196.9114657195896
1.02,0.00429892991125564,0.012,0.0,117860.81661522637,1.001800411522634,3196.9114655892117
1.03,0.00642717909029036,0.012,0.0,117860.81661522634,1.0018004115226338,3196.911465719595
1.04,0.00853006312975452,0.012,0.0,117860.81661522631,1.0018004115226335,3196.9114657195955
1.05,0.0105992829070607,0.012,0.0,117860.81661522634,1.0018004115226338,3196.911465589213
1.06,0.01262667215708446,0.012,0.0,117860.81661522631,1.0018004115226335,3196.911465588195
1.07,0.014604229700682,0.012,0.0,117860.81661522629,1.0018004115226333,3196.911465589214
1.08,0.016524151021688843,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465719595
1.09,0.01837885906777959,0.012,0.0,117860.81661522631,1.0018004115226335,3196.911465719595
